attribute_id,entity_type_id,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,layered_navigation_canonical,store_name,frontend_display_type,range_slider_range,range_slider_step,range_slider_default,categories,_options,_attribute_sets
,4,name,,,varchar,,,text,Name,,,1,0,,0,,,0,1,1,0,0,0,0,0,0,1,1,1,,1,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,description,,,text,,,textarea,Description,,,1,0,,0,,,0,1,1,0,0,0,1,0,0,1,0,1,,1,0,1,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,short_description,,,text,,,textarea,Short Description,,,1,0,,0,,,0,1,1,0,0,0,1,0,0,1,0,1,,1,0,1,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,sku,,catalog/product_attribute_backend_sku,static,,,text,SKU,,,1,0,,1,,,1,1,1,0,0,0,0,0,0,1,0,1,,1,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,price,,catalog/product_attribute_backend_price,decimal,,,price,Price,,,1,0,,0,,,2,1,0,0,0,0,0,0,0,1,0,1,,0,0,0,1,0,,3,0-70000,1000,0-70000,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,special_price,,catalog/product_attribute_backend_price,decimal,,,price,Special Price,validate-special-price,,0,0,,0,,,2,1,0,0,0,0,0,0,0,1,0,1,"simple,configurable,virtual,bundle,downloadable,accessory,service",0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,special_from_date,,catalog/product_attribute_backend_startdate_specialprice,datetime,,,date,Special Price From Date,,,0,0,,0,,,2,1,0,0,0,0,0,0,0,1,0,1,"simple,configurable,virtual,bundle,downloadable,accessory,service",0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,special_to_date,,eav/entity_attribute_backend_datetime,datetime,,,date,Special Price To Date,,,0,0,,0,,,2,1,0,0,0,0,0,0,0,1,0,1,"simple,configurable,virtual,bundle,downloadable,accessory,service",0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,cost,,catalog/product_attribute_backend_price,decimal,,,price,Cost,,,0,1,,0,,,2,1,0,0,0,0,0,0,0,0,0,1,"virtual,downloadable,service",0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,weight,,,decimal,,,weight,Weight,,,1,0,,0,,,1,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,manufacturer,,,int,,,select,Manufacturer,,eav/entity_attribute_source_table,0,1,,0,,,1,1,1,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,meta_title,,,varchar,,,text,Meta Title,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Meta Information;;;MIN>>>Meta Information;;;MOT>>>Meta Information;;;BMW>>>Meta Information
,4,meta_keyword,,,text,,,textarea,Meta Keywords,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Meta Information;;;MIN>>>Meta Information;;;MOT>>>Meta Information;;;BMW>>>Meta Information
,4,meta_description,,,varchar,,,textarea,Meta Description,,,0,0,,0,Maximum 255 chars,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Meta Information;;;MIN>>>Meta Information;;;MOT>>>Meta Information;;;BMW>>>Meta Information
,4,image,,,text,,catalog/product_attribute_frontend_image,media_image,Base Image,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Images;;;MIN>>>Images;;;MOT>>>Images;;;BMW>>>Images
,4,small_image,,,text,,catalog/product_attribute_frontend_image,media_image,Small Image,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,,,,,,,Default>>>Images;;;MIN>>>Images;;;MOT>>>Images;;;BMW>>>Images
,4,thumbnail,,,text,,catalog/product_attribute_frontend_image,media_image,Thumbnail,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,,,,,,,Default>>>Images;;;MIN>>>Images;;;MOT>>>Images;;;BMW>>>Images
,4,media_gallery,,catalog/product_attribute_backend_media,varchar,,,gallery,Media Gallery,,,0,0,,0,,,1,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Images;;;MIN>>>Images;;;MOT>>>Images;;;BMW>>>Images
,4,old_id,,,int,,,text,,,,0,0,,0,,,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,group_price,,catalog/product_attribute_backend_groupprice,decimal,,,text,Group Price,,,0,0,,0,,,2,1,0,0,0,0,0,0,0,0,0,1,"simple,configurable,virtual,bundle,downloadable,accessory",0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,tier_price,,catalog/product_attribute_backend_tierprice,decimal,,,text,Tier Price,,,0,0,,0,,,2,1,0,0,0,0,0,0,0,0,0,1,"simple,configurable,virtual,bundle,downloadable,accessory,service",0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,color,,,int,,,select,Colour,,,1,1,,0,,,1,1,1,0,1,0,1,0,0,1,0,1,,1,0,0,1,0,,0,,,,"14,7,8",,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,news_from_date,,catalog/product_attribute_backend_startdate,datetime,,,date,Set Product as New from Date,,,0,0,,0,,,2,1,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,news_to_date,,eav/entity_attribute_backend_datetime,datetime,,,date,Set Product as New to Date,,,0,0,,0,,,2,1,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,gallery,,,varchar,,,gallery,Image Gallery,,,0,0,,0,,,1,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Images;;;MIN>>>Images;;;MOT>>>Images;;;BMW>>>Images
,4,status,,,int,,,select,Status,,catalog/product_status,1,0,,0,,,2,1,1,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,url_key,,catalog/product_attribute_backend_urlkey,varchar,,,text,URL Key,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,url_path,,,varchar,,,text,,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,minimal_price,,,decimal,,,price,Minimal Price,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,1,"simple,configurable,virtual,bundle,downloadable,accessory,service",0,0,0,0,0,,,,,,,,Default>>>Prices;;;BMW>>>Prices;;;MOT>>>Prices;;;MIN>>>Prices
,4,is_recurring,,,int,,,select,Enable Recurring Profile,,eav/entity_attribute_source_boolean,0,0,,0,Products with recurring profile participate in catalog as nominal items.,,1,1,0,0,0,0,0,0,0,0,0,0,"simple,virtual",0,0,0,0,0,,,,,,,,Default>>>Recurring Profile;;;MIN>>>Recurring Profile;;;MOT>>>Recurring Profile;;;BMW>>>Recurring Profile
,4,recurring_profile,,catalog/product_attribute_backend_recurring,text,,,text,Recurring Payment Profile,,,0,0,,0,,,1,1,0,0,0,0,0,0,0,0,0,0,"simple,virtual",0,0,0,0,0,,,,,,,,Default>>>Recurring Profile;;;MIN>>>Recurring Profile;;;MOT>>>Recurring Profile;;;BMW>>>Recurring Profile
,4,visibility,,,int,,,select,Visibility,,catalog/product_visibility,1,0,4,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,custom_design,,,varchar,,,select,Custom Design,,core/design_source_design,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Design;;;MIN>>>Design;;;MOT>>>Design;;;BMW>>>Design
,4,custom_design_from,,catalog/product_attribute_backend_startdate,datetime,,,date,Active From,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Design;;;MIN>>>Design;;;MOT>>>Design;;;BMW>>>Design
,4,custom_design_to,,eav/entity_attribute_backend_datetime,datetime,,,date,Active To,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Design;;;MIN>>>Design;;;MOT>>>Design;;;BMW>>>Design
,4,custom_layout_update,,catalog/attribute_backend_customlayoutupdate,text,,,textarea,Custom Layout Update,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Design;;;MIN>>>Design;;;MOT>>>Design;;;BMW>>>Design
,4,page_layout,,,varchar,,,select,Page Layout,,catalog/product_attribute_source_layout,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Design;;;MIN>>>Design;;;MOT>>>Design;;;BMW>>>Design
,4,category_ids,,,static,,,text,,,,0,0,,0,,,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,options_container,,,varchar,,,select,Display Product Options In,,catalog/entity_product_attribute_design_options_container,0,0,container1,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,required_options,,,static,,,text,,,,0,0,,0,,,1,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,has_options,,,static,,,text,,,,0,0,,0,,,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,image_label,,,varchar,,,text,Image Label,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,small_image_label,,,varchar,,,text,Small Image Label,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,thumbnail_label,,,varchar,,,text,Thumbnail Label,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,created_at,,eav/entity_attribute_backend_time_created,static,,,text,,,,1,0,,0,,,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,updated_at,,eav/entity_attribute_backend_time_updated,static,,,text,,,,1,0,,0,,,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,country_of_manufacture,,,varchar,,,select,Country of Manufacture,,catalog/product_attribute_source_countryofmanufacture,0,0,,0,,,2,1,0,0,0,0,0,0,0,0,0,0,"simple,configurable,bundle,grouped",0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,msrp_enabled,,catalog/product_attribute_backend_msrp,varchar,,,select,Apply MAP,,catalog/product_attribute_source_msrp_type_enabled,0,0,2,0,,adminhtml/catalog_product_helper_form_msrp_enabled,2,1,0,0,0,0,0,0,0,1,0,1,"simple,bundle,configurable,virtual,downloadable,accessory",0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,msrp_display_actual_price_type,,catalog/product_attribute_backend_boolean,varchar,,,select,Display Actual Price,,catalog/product_attribute_source_msrp_type_price,0,0,4,0,,adminhtml/catalog_product_helper_form_msrp_price,2,1,0,0,0,0,0,0,0,1,0,1,"simple,bundle,configurable,virtual,downloadable,accessory",0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,msrp,,catalog/product_attribute_backend_price,decimal,,,price,Manufacturer's Suggested Retail Price,,,0,0,,0,,,2,1,0,0,0,0,0,0,0,1,0,1,"simple,bundle,configurable,virtual,downloadable,accessory",0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,tax_class_id,,,int,,,select,Tax Class,,tax/class_source_product,1,0,,0,,,2,1,1,0,0,0,0,0,0,1,0,1,"simple,configurable,virtual,downloadable,bundle,accessory",1,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,gift_message_available,,catalog/product_attribute_backend_boolean,varchar,,,select,Allow Gift Message,,eav/entity_attribute_source_boolean,0,0,,0,,giftmessage/adminhtml_product_helper_form_config,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,price_type,,,int,,,,,,,1,0,,0,,,1,0,0,0,0,0,0,0,0,1,0,0,bundle,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,sku_type,,,int,,,,,,,1,0,,0,,,1,0,0,0,0,0,0,0,0,0,0,0,bundle,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,weight_type,,,int,,,,,,,1,0,,0,,,1,0,0,0,0,0,0,0,0,1,0,0,bundle,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,price_view,,,int,,,select,Price View,,bundle/product_attribute_source_price_view,1,0,,0,,,1,1,0,0,0,0,0,0,0,1,0,0,bundle,0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,shipment_type,,,int,,,,Shipment,,,1,0,,0,,,1,0,0,0,0,0,0,0,0,1,0,0,bundle,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,links_purchased_separately,,,int,,,,Links can be purchased separately,,,1,0,,0,,,1,0,0,0,0,0,0,0,0,1,0,0,downloadable,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,samples_title,,,varchar,,,,Samples title,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,downloadable,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,links_title,,,varchar,,,,Links title,,,1,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,downloadable,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,links_exist,,,int,,,,,,,0,0,0,0,,,1,0,0,0,0,0,0,0,0,1,0,0,downloadable,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;BMW>>>Vehicle Details;;;MOT>>>Vehicle Details;;;MIN>>>Vehicle Details
,4,cap_code,,,varchar,,,text,Asset ID,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,1,0,0,,0,0,0,1,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,doors,,,varchar,,,select,Doors,,,0,0,,0,,,1,1,1,0,0,1,1,0,1,1,1,1,,1,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,transmission,,,int,,,select,Transmission,,,0,1,,0,,,1,1,1,2,0,1,1,0,1,1,1,1,,1,100,0,0,0,bmw,0,,,,"7,8,9,11",,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,fuel_type,,,int,,,select,Fuel Type,,eav/entity_attribute_source_table,0,1,,0,,,1,1,1,2,1,0,1,0,1,0,0,1,,1,99,0,1,0,"bmw,demo,mini,motorrad",0,,,,"7,8",,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,seats,,,varchar,,,select,Seats,,,0,0,,0,,,1,1,1,0,0,1,1,0,1,1,1,1,,1,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,max_towing_weight_unbraked,,,varchar,,,text,Max. Towing Weight - Unbraked,,,0,1,,0,,,1,1,0,0,1,0,1,0,0,0,0,0,,0,29,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,emission,,,varchar,,,text,CO2 emissions (g/km),,,0,1,,0,,,1,1,1,0,1,0,1,0,0,1,0,0,,1,1,0,0,0,,0,,,,,,Default>>>Emissions;;;MIN>>>Emissions;;;MOT>>>Emissions;;;BMW>>>Emissions
