attribute_id,entity_type_id,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,layered_navigation_canonical,store_name,frontend_display_type,range_slider_range,range_slider_step,range_slider_default,categories,_options,_attribute_sets
,4,fuel_tank_capacity_in_litres,,,varchar,,,text,Fuel Tank Capacity (Litres),,,0,1,,0,,,1,1,0,0,1,0,1,0,0,0,0,0,,0,26,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,ec_extra_urban_mpg,,,varchar,,,text,Out of Town (l/100km),,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,3,0,0,0,,0,,,,,,Default>>>Emissions;;;MIN>>>Emissions;;;MOT>>>Emissions;;;BMW>>>Emissions
,4,ec_combined_mpg,,,varchar,,,text,Combined (l/100km),,,0,1,,0,,,1,1,1,0,1,0,1,0,0,1,0,0,,1,2,0,0,0,,0,,,,,,Default>>>Emissions;;;MIN>>>Emissions;;;MOT>>>Emissions;;;BMW>>>Emissions
,4,max_towing_weight_braked,,,varchar,,,text,Max. Towing Weight - Braked,,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,28,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,wheelbase,,,varchar,,,text,Wheelbase,,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,23,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,top_speed,,,varchar,,,text,Top Speed,validate-digits,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,7,0,0,0,,,,,,,,Default>>>Engine and Performance;;;MIN>>>Engine and Performance;;;MOT>>>Engine and Performance;;;BMW>>>Engine and Performance
,4,ec_urban_mpg,,,varchar,,,text,In Town (l/100km),,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,4,0,0,0,,0,,,,,,Default>>>Emissions;;;MIN>>>Emissions;;;MOT>>>Emissions;;;BMW>>>Emissions
,4,height,,,varchar,,,text,Height,,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,21,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,length,,,varchar,,,text,Length,,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,22,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,width,,,varchar,,,text,Width,,,0,1,,0,,,1,1,1,0,1,0,1,0,0,0,0,0,,1,24,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,wheel_type,,,varchar,,,select,Wheel Type,,,0,0,,0,,,1,1,1,0,0,1,1,0,1,1,1,1,,1,0,0,0,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,partial_payment,,,int,,,boolean,Allow Partial Payment,,eav/entity_attribute_source_boolean,1,1,0,0,,,1,1,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,remove_compare_link,,,int,,,boolean,Remove Compare Link,,eav/entity_attribute_source_boolean,1,1,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,luggage_capacity,,,varchar,,,text,Luggage Capacity,,,0,1,,0,,,0,1,0,0,1,0,1,0,0,1,0,0,,0,2,0,0,0,,,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,included_options,,,varchar,,,text,Included Options,,,0,1,,0,,,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,derivative,,,varchar,,,text,Derivative,,,0,1,,0,,,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,availability,,,int,,,text,Availability,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,,,,,,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,popularity,,,int,,,text,Popularity,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,promotional_text,,,varchar,,,text,Promotional text,,,0,1,,0,,,1,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,road_fund_licence,,eav/entity_attribute_backend_array,int,,,select,Road Fund Licence,,,0,1,,0,,,1,1,0,0,1,0,0,0,0,1,0,0,,0,4,0,0,0,,,,,,,,
,4,road_fund_licence_cost,,,varchar,,,text,Road Fund Licence Costs,,,0,1,0,0,,,1,1,1,0,1,0,0,0,0,1,0,0,,0,0,0,0,0,,,,,,,,
,4,bodystyle,,,int,,,select,Bodystyle,,eav/entity_attribute_source_table,1,1,,0,,,1,1,1,2,1,0,1,0,1,1,0,1,,1,40,0,1,0,,0,,,,"7,14",,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,short_promotional_text,,,varchar,,,text,Short Promotional Text,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,rrp,,,decimal,,,price,RRP price,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,1,0,1,,0,4,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,car_options,,eav/entity_attribute_backend_array,text,,,multiselect,Car Options,,,0,1,,0,,,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,title,,,varchar,,,text,Product Title,,,1,1,,0,,,1,1,0,0,0,0,1,0,0,1,0,0,,0,63,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,subtitle,,,varchar,,,text,Product Subtitle,,,1,1,,0,,,1,1,0,0,0,0,1,0,0,1,0,0,,0,64,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,short_title,,,varchar,,,text,Short Product Title,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,1,0,0,,0,65,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,short_subtitle,,,varchar,,,text,Short Product Subtitle,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,1,0,0,,0,66,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,standard_features,,,text,,,textarea,Standard Features,,,0,1,,0,,,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,Default>>>Standard Features;;;MIN>>>Standard Features;;;MOT>>>Standard Features;;;BMW>>>Standard Features
,4,price_gross,,,decimal,,,price,Manufacturers Price Gross,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,0,0,1,,0,4,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,price_net,,,decimal,,,price,Manufacturers Price Net,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,0,0,1,,0,4,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,canonical_url,,,text,,,select,Canonical URL,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Meta Information;;;MIN>>>Meta Information;;;MOT>>>Meta Information;;;BMW>>>Meta Information
,4,canonical_cross_domain,,,int,,,select,Cross Domain Canonical URL,,,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Meta Information;;;MIN>>>Meta Information;;;MOT>>>Meta Information;;;BMW>>>Meta Information
,4,meta_robots,,,text,,,select,Meta Robots,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Meta Information;;;MIN>>>Meta Information;;;MOT>>>Meta Information;;;BMW>>>Meta Information
,4,exclude_from_crosslinking,,,int,,,select,Exclude from Cross Linking,,eav/entity_attribute_source_boolean,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Meta Information;;;MIN>>>Meta Information;;;MOT>>>Meta Information;;;BMW>>>Meta Information
,4,product_seo_name,,,text,,,text,Product SEO Name,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Meta Information;;;MIN>>>Meta Information;;;MOT>>>Meta Information;;;BMW>>>Meta Information
,4,exclude_from_sitemap,,,int,,,select,Exclude from XML Sitemap,,eav/entity_attribute_source_boolean,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Meta Information;;;MIN>>>Meta Information;;;MOT>>>Meta Information;;;BMW>>>Meta Information
,4,exclude_from_html_sitemap,,,int,,,select,Exclude from HTML Sitemap,,eav/entity_attribute_source_boolean,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Meta Information;;;MIN>>>Meta Information;;;MOT>>>Meta Information;;;BMW>>>Meta Information
,4,color_type,,,varchar,,,text,Color Type,,,0,0,,0,,,1,1,0,0,0,0,0,0,0,1,0,1,"simple,configurable",0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,options_price,,,decimal,,,text,Options Price,,,0,0,,0,,,1,1,0,0,0,0,0,0,0,1,0,1,"simple,configurable",0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,default_lead_time,,,varchar,,,text,Default Lead Time (Weeks),validate-digits,,0,1,,0,,,1,1,0,0,0,0,0,0,0,0,0,0,"simple,configurable",0,0,0,0,0,,0,,,,,,MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,disable_build_your_own,,,int,,,boolean,Disable 'Build Your Own' block,,eav/entity_attribute_source_boolean,0,1,,0,,,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,default_interior,,,text,,catalog/product_attribute_frontend_image,media_image,Interior Image,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Images;;;MIN>>>Images;;;MOT>>>Images;;;BMW>>>Images
,4,default_exterior,,,text,,catalog/product_attribute_frontend_image,media_image,Exterior Image,,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,,,,,,,Default>>>Images;;;MIN>>>Images;;;MOT>>>Images;;;BMW>>>Images
,4,visible_in,,,int,,,select,Visible In,,rockar_youdrive/product_attribute_source_visiblein,0,0,,0,,,1,1,0,2,0,0,0,0,0,1,0,1,,0,0,0,0,0,,,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,color_price,,,decimal,,,text,Color Price,,,0,1,,0,,,1,1,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,,,,,,,Default>>>Prices;;;MIN>>>Prices;;;MOT>>>Prices;;;BMW>>>Prices
,4,is_locked,,,int,,,boolean,Is Locked,,eav/entity_attribute_source_boolean,0,1,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,MOT>>>Vehicle Details
,4,end_of_line,,,int,,,boolean,End of Line,,eav/entity_attribute_source_boolean,0,1,0,0,,,1,1,0,0,0,0,0,0,0,0,0,0,simple,0,0,0,1,0,,,,,,,,MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,vehicle_condition,,eav/entity_attribute_backend_array,int,,,select,Vehicle Condition,,eav/entity_attribute_source_table,0,1,,0,,,1,1,1,2,1,0,0,0,1,0,0,0,,1,10,0,1,0,,0,,,,,,Default>>>Stock Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,cheapest_product_lead_time,,,varchar,,,text,Cheapest Product Lead Time (Weeks),,,0,1,,0,,,1,1,0,0,0,0,0,0,0,1,0,0,"simple,configurable",0,0,0,0,0,,0,,,,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,registration_year,,,text,,,text,Registration Year,,,0,1,0,0,,,1,1,0,0,1,0,0,0,0,1,0,1,simple,0,0,0,0,0,,,,,,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,registration_number,,,text,,,text,Registration Number,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,1,0,1,simple,0,0,0,0,0,,,,,,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,registration_letter,,,text,,,text,Registration Letter,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,1,0,1,simple,0,0,0,0,0,,,,,,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,au_model_year,,catalog/product_attribute_backend_price,decimal,,,price,Model Year,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,0,0,1,simple,0,0,0,0,0,,3,2013-2019,1,2013-2019,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,registration_date,,,datetime,,,date,Registration Date,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,1,0,1,simple,0,0,0,0,0,,,,,,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,tax_type,,,int,,,select,Tax Type,,rockar_approvedused/category_attribute_source_taxType,0,1,0,0,,,2,1,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,au_previous_owner,,,int,,,text,Owner History,,,0,1,0,0,,,1,1,0,0,0,0,0,0,0,1,0,1,simple,0,0,0,0,0,,,,,,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,au_usage_history,,eav/entity_attribute_backend_array,text,,,multiselect,Usage History,,eav/entity_attribute_source_table,0,1,,0,,,1,1,0,0,0,0,0,0,0,1,0,0,simple,0,0,0,0,0,,,,,,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,axle_load,,,varchar,,,text,Axel Load,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,axle_load_ratio,,,varchar,,,text,Axel Load Ratio,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Default>>>Weights and Dimensions;;;MIN>>>Weights and Dimensions;;;MOT>>>Weights and Dimensions;;;BMW>>>Weights and Dimensions
,4,bag_cosy_url,,,varchar,,,text,Cosy Image Url,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,bag_digital_showroom_status,,,int,,,boolean,Enabled Status,,eav/entity_attribute_source_boolean,0,1,0,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,bag_mm_code,,,varchar,,,text,MM Code,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,bag_production_date,,eav/entity_attribute_backend_datetime,datetime,,eav/entity_attribute_frontend_datetime,date,Production Date,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,1,0,,0,,,,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,bag_runin_date,,eav/entity_attribute_backend_datetime,datetime,,eav/entity_attribute_frontend_datetime,date,Run In Date,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,bag_runout_date,,eav/entity_attribute_backend_datetime,datetime,,eav/entity_attribute_frontend_datetime,date,Run Out Date,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,rfs_date,,eav/entity_attribute_backend_datetime,datetime,,eav/entity_attribute_frontend_datetime,date,Vehicle RFS date,,,0,1,,0,,,1,1,0,0,0,0,1,1,0,1,0,0,,0,0,0,1,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,bag_vehicle_location_province,,,varchar,,,text,Dealer Province,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Default>>>Stock Details;;;MIN>>>Stock Details;;;MOT>>>Stock Details;;;BMW>>>Stock Details
,4,bmw_m_car_flag,,,int,,,boolean,M Vehicle Indicator,,eav/entity_attribute_source_boolean,0,1,0,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Default>>>Vehicle Details;;;MIN>>>Vehicle Details;;;MOT>>>Vehicle Details;;;BMW>>>Vehicle Details
,4,bmw_range,,,int,,,select,BMW Range,,eav/entity_attribute_source_table,0,1,,0,,,1,1,1,0,0,0,1,0,1,1,0,1,,1,30,0,1,0,bmw,1,,,,7,,BMW>>>Vehicle Details
,4,bmw_series,,,int,,,select,Series,,eav/entity_attribute_source_table,0,1,,0,,,1,1,1,2,1,0,1,0,1,1,0,1,,1,15,0,1,0,bmw,1,,,,"11,7,9",,BMW>>>Vehicle Details
,4,drag,,,varchar,,,text,Vehicle Drag,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Default>>>Engine and Performance;;;MIN>>>Engine and Performance;;;MOT>>>Engine and Performance;;;BMW>>>Engine and Performance
,4,drive_train,,,varchar,,,text,Drive Train,,,0,1,,0,,,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,,,,,,Default>>>Engine and Performance;;;MIN>>>Engine and Performance;;;MOT>>>Engine and Performance;;;BMW>>>Engine and Performance
